,,Date,Open,High,Low,Close,Volume,OpnInt,
1,NAB,19870101,4.302,4.302,4.302,4.302,0,0,
1,NAB,19870102,4.348,4.394,4.302,4.394,133947,0,
1,NAB,19870105,4.417,4.456,4.379,4.456,421664,0,
1,NAB,19870106,4.532,4.609,4.456,4.594,553314,0,
1,NAB,19870107,4.648,4.686,4.609,4.671,785665,0,
1,NAB,19870108,4.578,4.609,4.548,4.563,780675,0,
1,NAB,19870109,4.571,4.578,4.563,4.563,798631,0,
1,NAB,19870112,4.555,4.578,4.532,4.548,207958,0,
1,NAB,19870113,4.494,4.548,4.44,4.486,560990,0,
1,NAB,19870114,4.356,4.379,4.333,4.348,559298,0,
1,NAB,19870115,4.356,4.379,4.333,4.379,324422,0,
1,NAB,19870116,4.417,4.456,4.379,4.379,834375,0,
1,NAB,19870119,4.34,4.379,4.302,4.348,462888,0,
1,NAB,19870120,4.348,4.379,4.317,4.379,796005,0,
1,NAB,19870121,4.363,4.409,4.317,4.409,646458,0,
1,NAB,19870122,4.417,4.456,4.379,4.44,403034,0,
1,NAB,19870123,4.479,4.502,4.456,4.486,320313,0,
1,NAB,19870126,4.486,4.486,4.486,4.486,0,0,
1,NAB,19870127,4.463,4.471,4.456,4.456,832238,0,
1,NAB,19870128,4.463,4.502,4.425,4.44,774955,0,
1,NAB,19870129,4.371,4.425,4.317,4.348,417906,0,
1,NAB,19870130,4.287,4.348,4.225,4.256,1497430,0,
1,NAB,19870202,4.21,4.225,4.194,4.225,216028,0,
1,NAB,19870203,4.279,4.333,4.225,4.256,575115,0,
1,NAB,19870204,4.264,4.302,4.225,4.24,406524,0,
1,NAB,19870205,4.264,4.271,4.256,4.256,844962,0,
1,NAB,19870206,4.248,4.287,4.21,4.225,192389,0,
1,NAB,19870209,4.294,4.302,4.287,4.302,443384,0,
1,NAB,19870210,4.294,4.317,4.271,4.287,498717,0,
1,NAB,19870211,4.24,4.271,4.21,4.271,217092,0,
1,NAB,19870212,4.279,4.302,4.256,4.271,280409,0,
1,NAB,19870213,4.256,4.287,4.225,4.24,316819,0,
1,NAB,19870216,4.21,4.271,4.148,4.148,332353,0,
1,NAB,19870217,4.179,4.21,4.148,4.164,372855,0,
1,NAB,19870218,4.187,4.21,4.164,4.179,564012,0,
1,NAB,19870219,4.164,4.179,4.148,4.179,212628,0,
1,NAB,19870220,4.187,4.225,4.148,4.164,221360,0,
1,NAB,19870223,4.156,4.179,4.133,4.133,247088,0,
1,NAB,19870224,4.133,4.148,4.118,4.133,224780,0,
1,NAB,19870225,4.056,4.118,3.995,3.995,237622,0,
1,NAB,19870226,4.056,4.071,4.041,4.071,990240,0,
1,NAB,19870227,4.056,4.071,4.041,4.071,568388,0,
1,NAB,19870302,4.025,4.056,3.995,3.995,578015,0,
1,NAB,19870303,4.018,4.041,3.995,4.01,533780,0,
1,NAB,19870304,4.033,4.071,3.995,4.041,407730,0,
1,NAB,19870305,4.095,4.118,4.071,4.102,630619,0,
1,NAB,19870306,4.171,4.225,4.118,4.21,960065,0,
1,NAB,19870309,4.202,4.225,4.179,4.179,802752,0,
1,NAB,19870310,4.125,4.148,4.102,4.118,424499,0,
1,NAB,19870311,4.133,4.148,4.118,4.148,322569,0,
1,NAB,19870312,4.129,4.148,4.11,4.133,1003883,0,
1,NAB,19870313,4.133,4.148,4.118,4.118,513844,0,
1,NAB,19870316,4.079,4.118,4.041,4.041,531749,0,
1,NAB,19870317,4.025,4.041,4.01,4.025,392162,0,
1,NAB,19870318,4.041,4.071,4.01,4.01,834192,0,
1,NAB,19870319,3.979,3.995,3.964,3.979,2240505,0,
1,NAB,19870320,4.048,4.118,3.979,4.071,853366,0,
1,NAB,19870323,4.102,4.133,4.071,4.102,1836010,0,
1,NAB,19870324,4.095,4.118,4.071,4.102,617193,0,
1,NAB,19870325,4.056,4.087,4.025,4.041,681977,0,
1,NAB,19870326,4.025,4.041,4.01,4.025,283512,0,
1,NAB,19870327,4.018,4.041,3.995,4.041,969086,0,
